P_NAME,P_DETECTION,P_MASS,P_RADIUS,P_FLUX,P_TEMP_SURF,P_PERIOD,P_DISTANCE,P_DENSITY,P_GRAVITY,P_ESI
Kepler-705 b,Transit,5.1,2.11,0.76563897,885.57144,56.056054,0.232,0.54290371,1.1455268,0.73073671
TRAPPIST-1 c,Transit,1.308,1.097,2.2166397,,2.421937,0.015800338,0.99080425,1.0869123,0.73055616
K2-155 d,Transit,4.27,1.9,1.5730436,,40.718,0.1937,0.62253973,1.1828255,0.72989462
K2-332 b,Transit,5.48,2.2,1.1665425,,17.70632,0.085911187,0.51465064,1.1322314,0.72932121
Kepler-155 c,Transit,5.65,2.24,1.0528567,,52.661793,0.242,0.5026948,1.1260364,0.72876715
Kepler-22 b,Transit,9.1,2.1,1.4110575,829.43836,289.86388,1.0224704,0.98261527,2.0634921,0.7216326
tau Cet e,Radial Velocity,3.93,1.81,1.7401533,,162.87,0.5467156,0.66276082,1.1995971,0.72066764
Kepler-1126 c,Transit,2.7,1.45,2.0758589,,199.66876,0.6193,0.88564517,1.2841855,0.72064487
TOI-1452 b,Transit,4.82,1.672,1.8807901,,11.06201,0.061,1.0311889,1.7241478,0.72006129
K2-133 e,Transit,3.64,1.73,1.8319342,,26.5841,0.1346,0.70301254,1.2162117,0.7191063
EPIC 201238110 b,Transit,4.16,1.87,1.7146135,,28.1656,0.13456028,0.63616315,1.1896251,0.71610717
TOI-2257 b,Transit,5.45,2.194,0.74401712,,35.189346,0.16283616,0.51604388,1.1322003,0.71601979
Kepler-443 b,Transit,6.04,2.33,0.89008833,,177.6693,0.49799475,0.47749538,1.1125642,0.71460424
GJ 367 d,Radial Velocity,6.03,2.33,1.145209,1007.5562,34.369,0.16122863,0.47670483,1.1107222,0.71355472
GJ 625 b,Radial Velocity,2.82,1.49,2.0965306,2257.0779,14.628,0.07902315,0.85249198,1.2702131,0.71353602
Kepler-1701 b,Transit,5.57,2.222,1.4170461,,169.134,0.5608,0.50771855,1.1281506,0.70536871
Kepler-69 c,Transit,3.57,1.71,1.972143,,242.4613,0.646272,0.71396987,1.2208885,0.70366857
K2-72 c,Transit,1.65,1.16,2.4068792,983.75894,15.189034,0.0784719,1.0570852,1.2262188,0.70333797
K2-18 b,Transit,8.92,2.37,1.2641538,2387.9355,32.939623,0.145758,0.67006945,1.5880646,0.70093768
Kepler-1606 b,Transit,4.94,2.07,1.6360428,1685.6388,196.43522,0.6421,0.55694962,1.1528857,0.70025387
K2-9 b,Transit,5.69,2.25,1.4484957,,18.4498,0.091,0.49953361,1.1239506,0.6987684
Kepler-1389 b,Transit,3.78,1.77,1.9534511,,99.253095,0.3869,0.68166658,1.2065498,0.69876202
Kepler-1455 b,Transit,5.31,2.16,1.5650462,,49.276764,0.2149,0.52690615,1.1381173,0.69727869
GJ 180 c,Radial Velocity,6.4,2.41,0.7844886,494.41715,24.329,0.12952245,0.45722382,1.1019094,0.69540275
K2-125 b,Transit,5.39,2.18,1.5661143,556.54301,21.750264,0.1213872,0.52025862,1.1341638,0.69474456
L 98-59 e,Radial Velocity,3.06,1.56,2.2107972,418.80831,12.796,0.072287366,0.80602337,1.2573964,0.69173285
GJ 163 c,Radial Velocity,6.8,2.5,1.2518252,,25.63058,0.12601452,0.4352,1.088,0.68680696
Kepler-1540 b,Transit,6.76,2.49,0.77620633,2034.8495,125.41312,0.4426,0.43787349,1.090305,0.68524014
Kepler-1549 b,Transit,7.13,2.57,1.1927168,602.70806,214.88655,0.6687,0.42003953,1.0795016,0.68288219
Kepler-1362 b,Transit,7.27,2.6,1.1710859,,136.20563,0.4626,0.41363223,1.0754438,0.68082872
GJ 3323 b,Radial Velocity,2.02,1.23,2.5735045,,5.3636,0.033688089,1.0855155,1.3351841,0.68021567
Kepler-62 f,Transit,35,1.41,0.40714688,,267.291,0.718,12.485637,17.604748,0.67871408
Kepler-174 d,Transit,5.43,2.19,0.58724951,1014.4739,247.35373,0.677,0.51697255,1.1321699,0.67845615
TRAPPIST-1 f,Transit,1.039,1.045,0.37353061,922.95264,9.20754,0.038491952,0.91047217,0.95144342,0.67711241
TOI-1266 c,Transit,2.2,1.56,2.35167,503.32415,18.80151,0.10588464,0.57949392,0.90401052,0.6755864
GJ 3929 c,Radial Velocity,5.71,2.26,1.6597014,,15.04,0.081,0.49466455,1.1179419,0.6752644
YZ Cet d,Radial Velocity,1.09,1.03,2.7044079,,4.65626,0.02857985,0.99750441,1.0274295,0.67449052
Kepler-61 b,Transit,5.27,2.15,1.7863937,954.09468,59.87756,0.25637906,0.53026778,1.1400757,0.6737067
Kepler-235 e,Transit,5.56,2.22,1.7427729,,46.183669,0.213,0.50817801,1.1281552,0.67069003
GJ 180 b,Radial Velocity,6.49,2.43,1.5398946,,17.133,0.0922254,0.45229926,1.0990872,0.66909381
Kepler-1090 b,Transit,5.69,2.25,1.7641669,,198.68018,0.6364,0.49953361,1.1239506,0.66507003
Kepler-1840 b,Transit,8.13,2.778,1.2000949,,131.19,0.4644,0.37922226,1.0534794,0.66106477
Kepler-1690 b,Transit,8.3,2.811,1.1346199,,234.636,0.7097,0.3736763,1.0504041,0.66103435
HD 40307 g,Radial Velocity,7.1,2.56,0.66645905,,197.8,0.62523,0.42319298,1.083374,0.6593528
Teegarden's Star c,Radial Velocity,1.05,1.02,0.34940163,666.05578,11.416,0.0455364,0.98943845,1.0092272,0.65900478
Kepler-439 b,Transit,5.65,2.24,1.8330687,,178.1396,0.56325335,0.5026948,1.1260364,0.65872447
TOI-904 c,Transit,5.34,2.167,0.52443397,348.89012,83.9997,0.312,0.52476459,1.1371649,0.65860318
Kepler-296 f,Transit,3.89,1.8,0.43949751,1245.7218,63.33627,0.26888475,0.6670096,1.2006173,0.65849997
Kepler-991 b,Transit,6.99,2.54,1.5316396,1102.4291,82.534252,0.3104,0.42655597,1.0834522,0.65842367
LHS 1140 b,Transit,5.6,1.73,0.4252258,,24.73723,0.094687458,1.0815578,1.8710949,0.65784339
TOI-712 d,Transit,6.68,2.474,1.6178045,631.17377,84.8396,0.34140726,0.44114095,1.0913827,0.65669073
Kepler-1554 b,Transit,8.75,2.9,1.0148243,1612.4775,198.08877,0.6314,0.3587683,1.0404281,0.6554728
Kepler-560 b,Transit,3.61,1.72,2.4090657,1191.8836,18.477644,0.091199055,0.70945011,1.2202542,0.65293369
HIP 38594 b,Radial Velocity,8.1,2.77,1.342419,1292.035,60.722,0.2596992,0.38110593,1.0556634,0.65229637
Kepler-309 c,Transit,6.85,2.51,1.6584839,,105.35638,0.401,0.43318101,1.0872843,0.64898531
HN Lib b,Radial Velocity,5.46,2.2,0.50538199,,36.116,0.14214217,0.51277235,1.1280992,0.64745149
